class_idx,n_samples,mean_weight,std_weight,p10,p50,p90
213,185,0.6000000238418579,0.20376139879226685,0.31173911690711975,0.6173912882804871,0.862173855304718
214,187,0.5999999642372131,0.21176370978355408,0.29032260179519653,0.6215053796768188,0.8632258176803589
215,186,0.6000000238418579,0.19605432450771332,0.3372972905635834,0.5956756472587585,0.8648648858070374
216,190,0.6000000238418579,0.21100927889347076,0.29079362750053406,0.5957671999931335,0.8736507296562195
217,166,0.5999999642372131,0.21669822931289673,0.2824242413043976,0.6193939447402954,0.8945454359054565
218,182,0.6000000834465027,0.21022146940231323,0.29303866624832153,0.6309391856193542,0.882430911064148
219,184,0.5999999642372131,0.21106235682964325,0.2865573763847351,0.6349726915359497,0.8721311092376709
220,181,0.5999999642372131,0.21452470123767853,0.2800000011920929,0.6422222256660461,0.851111114025116
221,184,0.6000000238418579,0.20203208923339844,0.29245901107788086,0.6109289526939392,0.8961748480796814
222,182,0.6000000238418579,0.2106943130493164,0.2839778959751129,0.6022099852561951,0.8716021776199341
223,183,0.6000000238418579,0.2087865024805069,0.2914285957813263,0.6131868362426758,0.8628571629524231
224,185,0.6000000238418579,0.2085692137479782,0.2878260910511017,0.6326087117195129,0.8647825717926025
225,184,0.6000000238418579,0.19170936942100525,0.2998907268047333,0.6306011080741882,0.8413114547729492
226,186,0.6000000238418579,0.1723182648420334,0.35783785581588745,0.6043242812156677,0.8216216564178467
227,190,0.6000000238418579,0.20817258954048157,0.32042327523231506,0.6063491702079773,0.8924867510795593
228,182,0.6000000238418579,0.2116595059633255,0.31381216645240784,0.6066298484802246,0.9020993709564209
229,190,0.6000000238418579,0.2101041078567505,0.3081481456756592,0.6000000238418579,0.8825395703315735
230,188,0.5999999642372131,0.21384482085704803,0.30631017684936523,0.5786096453666687,0.8909090757369995
231,185,0.6000000238418579,0.21856488287448883,0.28913044929504395,0.623913049697876,0.8830434679985046
232,189,0.5999999642372131,0.21045267581939697,0.3012765944004059,0.6191489100456238,0.8906382322311401
233,182,0.6000000834465027,0.18353724479675293,0.3440884053707123,0.5977900624275208,0.8384530544281006
234,185,0.6000000238418579,0.19346192479133606,0.3139130473136902,0.6282608509063721,0.8373912572860718
235,185,0.6000000238418579,0.19897927343845367,0.3139130473136902,0.595652163028717,0.8478261232376099
236,183,0.6000000834465027,0.21120525896549225,0.2945055067539215,0.593406617641449,0.8940659165382385
237,184,0.6000000238418579,0.20349067449569702,0.31606557965278625,0.5956284403800964,0.8775956034660339
238,185,0.6000000238418579,0.21670661866664886,0.2869565188884735,0.615217387676239,0.8830434679985046
239,184,0.6000000238418579,0.20915712416172028,0.3092896342277527,0.6174863576889038,0.8638250827789307
240,173,0.5999999642372131,0.19575676321983337,0.2800000309944153,0.6186046600341797,0.8372093439102173
241,165,0.5999999642372131,0.2174566686153412,0.2829268276691437,0.590243935585022,0.8990243673324585
242,182,0.5999999642372131,0.21696332097053528,0.3043093979358673,0.5933701992034912,0.8917127251625061
243,176,0.5999999642372131,0.20462237298488617,0.29828572273254395,0.6228571534156799,0.8639999628067017
244,185,0.6000000238418579,0.20340298116207123,0.2934782803058624,0.6217391490936279,0.8578260540962219
245,188,0.5999999642372131,0.20516842603683472,0.33283424377441406,0.6064171195030212,0.8592513799667358
246,191,0.6000000834465027,0.19970294833183289,0.2905263304710388,0.6378947496414185,0.8568421602249146
247,183,0.6000000238418579,0.20357656478881836,0.3112088143825531,0.6439560651779175,0.8426374197006226
248,180,0.6000000238418579,0.21062563359737396,0.30435752868652344,0.6156424880027771,0.8681564331054688
249,169,0.6000000834465027,0.20770978927612305,0.2900000214576721,0.6309523582458496,0.8547618985176086
250,184,0.6000000238418579,0.19237279891967773,0.33836066722869873,0.6087431907653809,0.8574863076210022
251,189,0.6000000238418579,0.18999074399471283,0.3400000035762787,0.5957447290420532,0.864680826663971
252,181,0.6000000238418579,0.17964176833629608,0.324444442987442,0.6222222447395325,0.8088889122009277
253,184,0.5999999642372131,0.19828759133815765,0.30754098296165466,0.6393442749977112,0.8365026712417603
254,181,0.6000000238418579,0.21173255145549774,0.29333335161209106,0.6088889241218567,0.8644444346427917
255,184,0.5999999642372131,0.20731738209724426,0.2861202359199524,0.6240437626838684,0.8808742761611938
256,178,0.5999999642372131,0.2155320942401886,0.27774012088775635,0.6180791258811951,0.87412428855896
257,181,0.6000000238418579,0.20072966814041138,0.30000001192092896,0.6333333253860474,0.846666693687439
258,186,0.6000000238418579,0.19283273816108704,0.35783785581588745,0.5827026963233948,0.8767567873001099
259,189,0.5999999642372131,0.21748755872249603,0.28936171531677246,0.629787266254425,0.8672339916229248
260,187,0.6000000238418579,0.21037481725215912,0.2937634587287903,0.6279570460319519,0.855483889579773
261,187,0.6000000834465027,0.21310435235500336,0.29032257199287415,0.6172043085098267,0.8941935300827026
262,191,0.6000000238418579,0.2151893526315689,0.2905263304710388,0.5894736647605896,0.8652631640434265
263,183,0.6000000238418579,0.20260494947433472,0.31208792328834534,0.6241758465766907,0.8373626470565796
264,181,0.6000000238418579,0.2134987711906433,0.29333335161209106,0.6133333444595337,0.8711110949516296
265,181,0.6000000238418579,0.2157624065876007,0.30444443225860596,0.6222222447395325,0.8933333158493042
266,51,0.5999999642372131,0.20159365236759186,0.2639999985694885,0.6720000505447388,0.8079999685287476
267,188,0.5999999642372131,0.21950770914554596,0.296470582485199,0.6192513704299927,0.8866310119628906
268,184,0.6000000238418579,0.2125060260295868,0.2874316871166229,0.6240437030792236,0.8710382580757141
269,181,0.6000000238418579,0.2156364768743515,0.2866666615009308,0.6088889241218567,0.8666666746139526
270,183,0.5999999642372131,0.20750030875205994,0.3283516764640808,0.5978022217750549,0.8738461136817932
271,188,0.6000000238418579,0.20988240838050842,0.2827807664871216,0.6064171195030212,0.8566845059394836
272,183,0.6000000238418579,0.21829408407211304,0.29274725914001465,0.593406617641449,0.8997802734375
273,186,0.5999999642372131,0.171439066529274,0.35783785581588745,0.6216216087341309,0.7967567443847656
