class_idx,baseline_acc,tta_acc,delta
471,0.650000,0.550000,-0.100000
472,0.500000,0.500000,0.000000
473,0.857143,0.904762,0.047619
474,0.904762,0.904762,0.000000
475,0.761905,0.809524,0.047619
476,0.619048,0.571429,-0.047619
477,0.333333,0.380952,0.047619
478,0.428571,0.523810,0.095238
479,0.526316,0.473684,-0.052632
480,0.952381,0.952381,0.000000
481,0.772727,0.818182,0.045455
482,0.809524,0.809524,0.000000
483,0.380952,0.333333,-0.047619
484,0.904762,0.904762,0.000000
485,0.227273,0.181818,-0.045455
486,0.714286,0.666667,-0.047619
487,0.619048,0.619048,0.000000
488,0.650000,0.650000,0.000000
489,0.565217,0.434783,-0.130435
490,0.950000,0.950000,0.000000
491,0.450000,0.450000,0.000000
492,0.600000,0.650000,0.050000
493,0.750000,0.750000,0.000000
494,0.500000,0.500000,0.000000
495,0.952381,0.952381,0.000000
496,0.900000,0.900000,0.000000
497,0.950000,0.950000,0.000000
498,0.800000,0.800000,0.000000
499,0.950000,0.800000,-0.150000
