label,val_samples,train_samples,drift,ft_recall,lp_recall,delta_recall
308,17,155,0.04084747657,0.1764705926,0.1176470593,0.05882353336
309,20,177,0.04541552439,0.75,0.6999999881,0.05000001192
310,23,207,0.03763281927,0.5217391253,0.5217391253,0
311,16,149,0.03468837216,0.875,0.8125,0.0625
312,18,159,0.04981721565,0.8333333135,0.6111111045,0.222222209
313,19,170,0.03920254484,0.3684210479,0.2631579041,0.1052631438
314,22,198,0.04200222343,0.3636363745,0.3636363745,0
315,20,177,0.04131643474,0.8000000119,0.6000000238,0.1999999881
316,22,196,0.03317227587,0.6818181872,0.5909090638,0.09090912342
317,15,138,0.0346996896,0.8000000119,0.6666666865,0.1333333254
318,12,107,0.03181168437,0.08333333582,0,0.08333333582
319,22,194,0.02776424401,0.6818181872,0.6818181872,0
320,24,216,0.0465320535,0.875,0.625,0.25
321,19,169,0.04325412959,0.8947368264,0.6842105389,0.2105262876
322,19,169,0.02685309947,1,0.947368443,0.05263155699
323,20,176,0.03789944202,0.9499999881,1,-0.05000001192
324,12,112,0.04602278769,0.08333333582,0,0.08333333582
325,20,180,0.02651843429,1,0.8999999762,0.1000000238
326,19,170,0.04218684509,0.5789473653,0.4210526347,0.1578947306
327,25,222,0.05248282105,0.6399999857,0.6800000072,-0.04000002146
328,19,172,0.02219121158,0.947368443,0.947368443,0
329,24,211,0.0421804525,0.7916666865,0.375,0.4166666865
330,8,71,0.03816906363,0.5,0.5,0
331,24,209,0.04924520478,0.7916666865,0.75,0.04166668653
332,17,153,0.04018631577,0.7058823705,0.4117647111,0.2941176593
333,19,168,0.02419829369,0.7894737124,0.6842105389,0.1052631736
334,21,179,0.03352651,0.7619047761,0.7619047761,0
335,16,142,0.04132627323,0.5625,0.375,0.1875
336,16,149,0.03096317872,0.75,0.75,0
337,17,155,0.0222304184,1,0.8823529482,0.1176470518
338,20,179,0.03569330648,0.9499999881,0.9499999881,0
339,24,211,0.029657593,0.7916666865,0.75,0.04166668653
340,20,180,0.04581416771,0.8000000119,0.6999999881,0.1000000238
341,15,136,0.02601753548,0.9333333373,0.9333333373,0
342,23,211,0.0336499922,0.913043499,0.8695651889,0.04347831011
343,18,161,0.05521818995,0.777777791,0.5,0.277777791
344,23,204,0.0464861095,0.6956521869,0.4347825944,0.2608695924
345,19,172,0.03928477317,0.4210526347,0.3684210479,0.05263158679
346,16,146,0.04677360132,0.75,0.625,0.125
347,20,178,0.04336406291,0.8500000238,0.75,0.1000000238
348,23,194,0.03115590475,0.913043499,0.8695651889,0.04347831011
349,22,203,0.03207636252,0.6818181872,0.6818181872,0
350,18,157,0.04009569436,0.8888888955,0.8333333135,0.05555558205
