class_index,class_name,count,D3_STRICT_accuracy,B2_GCE07_accuracy
118,0118,21,0.6666666666666666,0.6666666666666666
119,0119,20,0.95,0.95
120,0120,21,0.6190476190476191,0.6666666666666666
121,0121,21,1.0,0.9523809523809523
122,0122,20,0.75,0.75
123,0123,20,0.3,0.35
124,0124,20,0.8,0.7
125,0125,21,0.47619047619047616,0.38095238095238093
126,0126,21,0.8095238095238095,0.7619047619047619
127,0127,20,0.8,0.75
128,0128,21,0.9523809523809523,0.9047619047619048
129,0129,21,0.8571428571428571,0.8095238095238095
130,0130,22,0.5454545454545454,0.5454545454545454
131,0131,21,0.8095238095238095,0.7619047619047619
132,0132,21,0.5238095238095238,0.5714285714285714
133,0133,21,0.9047619047619048,0.9047619047619048
134,0134,20,0.65,0.65
135,0135,20,0.4,0.35
136,0136,21,0.6190476190476191,0.6190476190476191
137,0137,21,0.8095238095238095,0.7142857142857143
138,0138,20,0.35,0.4
139,0139,21,0.42857142857142855,0.42857142857142855
140,0140,20,0.75,0.7
141,0141,21,0.8095238095238095,0.8095238095238095
142,0142,21,0.9523809523809523,0.9047619047619048
143,0143,21,0.8095238095238095,0.8095238095238095
144,0144,21,0.8095238095238095,0.7619047619047619
145,0145,20,0.8,0.9
146,0146,20,0.65,0.65
147,0147,21,1.0,1.0
148,0148,21,0.8571428571428571,0.8571428571428571
149,0149,20,0.8,0.85
150,0150,22,0.7727272727272727,0.7272727272727273
151,0151,20,0.85,0.9
152,0152,21,0.7619047619047619,0.7619047619047619
153,0153,21,0.47619047619047616,0.5238095238095238
154,0154,21,0.8095238095238095,0.8571428571428571
155,0155,20,0.45,0.4
156,0156,20,0.3,0.25
157,0157,21,0.8095238095238095,0.7619047619047619
158,0158,21,0.9047619047619048,0.9047619047619048
159,0159,20,0.8,0.8
160,0160,21,0.6190476190476191,0.5714285714285714
161,0161,20,0.95,0.95
162,0162,22,0.7272727272727273,0.7272727272727273
163,0163,20,0.95,0.95
164,0164,20,0.6,0.5
165,0165,21,0.8095238095238095,0.8571428571428571
166,0166,21,0.8571428571428571,0.7619047619047619
167,0167,21,0.8571428571428571,0.8095238095238095
168,0168,21,0.9047619047619048,0.9047619047619048
169,0169,21,1.0,1.0
170,0170,22,0.7727272727272727,0.8181818181818182
171,0171,20,0.65,0.6
172,0172,20,0.7,0.7
173,0173,21,0.8571428571428571,0.9047619047619048
174,0174,20,0.9,0.85
175,0175,20,0.75,0.75
176,0176,21,0.6666666666666666,0.6190476190476191
177,0177,20,0.95,0.95
178,0178,20,0.75,0.8
179,0179,21,0.9047619047619048,0.8095238095238095
180,0180,21,0.8571428571428571,0.8571428571428571
181,0181,21,0.8571428571428571,0.8571428571428571
182,0182,21,0.8571428571428571,0.8095238095238095
183,0183,20,0.65,0.6
184,0184,21,0.2857142857142857,0.2857142857142857
185,0185,21,0.8571428571428571,0.9047619047619048
186,0186,20,0.95,0.95
187,0187,20,0.8,0.8
188,0188,20,0.7,0.7
189,0189,20,0.75,0.7
190,0190,21,0.8095238095238095,0.7619047619047619
191,0191,21,0.8571428571428571,0.8095238095238095
